cumulative_historical_unique,current_examples,current_ids_hash,historical_capacity,historical_examples,historical_ids_hash,historical_novel_since_previous,historical_overlap_fraction,namespace,sampler,sampler_label,schema_version,stage,training_examples,training_ids_hash
7331,346,cbcce0e7f98f70c0fc112a3815a7793a779c4b084995cc3a6c7e257f8e9fe87c,8192,7331,76e01e2fd2fd1c3fc0088a0852e2778b1017fc675de93fc9e467fb48dbecda27,338,0.9538944209521212,imagenetr50-integrator-history-stage-draw-v1:1993:19,rotating,Rotating replay,imagenetr50-replay-selection-v1,19,7677,d319a47b08ed80ad10a513c5428997a1c86b7fd824a08ed955ef37f1b4c35c9f
7677,324,888600833f4a1cf1c130f98932e06541205a725cb1841b7aad4bdef18b33999f,8192,7677,ddfc68bcdeadf6384da9be3ffbdaabef6bf664dd11b7c4de6245f7d18cdbd8b7,346,0.9549303113195259,imagenetr50-integrator-history-stage-draw-v1:1993:20,rotating,Rotating replay,imagenetr50-replay-selection-v1,20,8001,e647622e6894f19ecffd5cd346d0ca85111828c07c0883a028169cb5abdce119
8001,463,3742e9506218a02324151343b6632f0c05d4bb910fd1b41fd07137b79ed7a311,8192,8001,fbd523b4f8a47c10e33757f3e7c54e45dc6a9ca756efd8fead55e2e5ab72684f,324,0.9595050618672666,imagenetr50-integrator-history-stage-draw-v1:1993:21,rotating,Rotating replay,imagenetr50-replay-selection-v1,21,8464,aae7a5102a64d276f6c47a97bbb2cfef24b742c6bc0d311f87590e5ff24498fb
8449,384,b5e98609faef0db5e18d77cb65ddea68226c20b83f3527416062e1faddccf19d,8192,8192,30cddaa64c4d851b1932334206dd48c42375442460fc73330e4aa15ddda95cbf,448,0.9453125,imagenetr50-integrator-history-stage-draw-v1:1993:22,rotating,Rotating replay,imagenetr50-replay-selection-v1,22,8576,5e46adae0b934efddb9a03425aabf1afc432972d02db907f5187269df4970d54
8820,374,e09f1cba33fe49cf6b9c054ef08e4b49225b13c60df4d68ba58ce1b288310d82,8192,8192,5085d04cf8ebbfd2b126ceecc5f944b11d1e781f07dd76ec3972d56362ec8773,614,0.925048828125,imagenetr50-integrator-history-stage-draw-v1:1993:23,rotating,Rotating replay,imagenetr50-replay-selection-v1,23,8566,deec31c19a39f0a57a53d3e98e846f0108d62d0f08b0da3e12de4d2344609094
9175,274,68c6a9429dcd0b9aa4f66af9209723d3ff052bcbb86691cd0ba784b81cd25f29,8192,8192,9f83c61215091919656ae2c20c088c8e8169374e01af3fa520a05c51fd253233,920,0.8876953125,imagenetr50-integrator-history-stage-draw-v1:1993:24,rotating,Rotating replay,imagenetr50-replay-selection-v1,24,8466,934730ee4e5e21d125ccb5b5652e979e8aaef131c909fc16420141e322c460fb
9452,206,68aa402acd72778314417388df2025423647074f95156d517a0ac11e564545ec,8192,8192,1cc7f2769677f3c391cd65d6744e8673bbdecfdbbf5a4db2959b2a8a0a3ab425,1095,0.8663330078125,imagenetr50-integrator-history-stage-draw-v1:1993:25,rotating,Rotating replay,imagenetr50-replay-selection-v1,25,8398,b859b9a6dc83695805041989f8fa841180ec04f13692773271298665a756cc45
9664,394,79533d722609cae849818b460101f37e3021e1829ee3d4f90a384ce2bb765b46,8192,8192,42c737704632b26f03ddcfd3931f051e89ceba3b0c1f7b73e6a8eedea3e9bc22,1287,0.8428955078125,imagenetr50-integrator-history-stage-draw-v1:1993:26,rotating,Rotating replay,imagenetr50-replay-selection-v1,26,8586,7f81fa4bfcff07ae4c44d608d620e4d32ce16f09a89b140eeefa8b5ba32b7337
10011,359,146964825cb0e8d39c16465d0d398a2df17dd1b6aefdf7b36b6cdaac3360e6cb,8192,8192,6fc18dae08a74a214fd48c0a2c74e42339597f8860f8d508eb5d421ee54f6f7c,1565,0.8089599609375,imagenetr50-integrator-history-stage-draw-v1:1993:27,rotating,Rotating replay,imagenetr50-replay-selection-v1,27,8551,5c47f2cb12e2a29ef3828f189137983e014aada668824117666489b16051045c
10359,323,0853934da4439f6b07d722bb1bda873b1a9c31e5c034713d88eeb3cee34aa61f,8192,8192,86a74fea1c2bee54634f71b151c59f206d6a7f6c662fee8dbd3ba7806e9fc045,1767,0.7843017578125,imagenetr50-integrator-history-stage-draw-v1:1993:28,rotating,Rotating replay,imagenetr50-replay-selection-v1,28,8515,de9d25fdef737b8725380741a63d55a6b60fee8b26d6f3a3fee9362ec5265df4
10677,364,be245ad24603d5ba0b8f8bb11e6d92a9da7155c609f9cd0dd991be4f45d97a4d,8192,8192,788185a4345af57643693ad6459299c2fe91945cfd5ede2a91a3ddf742591c1f,1987,0.7574462890625,imagenetr50-integrator-history-stage-draw-v1:1993:29,rotating,Rotating replay,imagenetr50-replay-selection-v1,29,8556,f947ba12c210f63808587cfdb82c38eed668180a99f7af2f34a3e7f98bc0d7d3
11023,685,2ae6d5daa6f8a4f81d4be883b6e23d95f5f84bfb70eb0eb0ebbbdb181913ca16,8192,8192,7c89574b8285bb47af98ba5c74db880bf67e4a812f39c53bbb38aa3e0d6da0aa,2159,0.7364501953125,imagenetr50-integrator-history-stage-draw-v1:1993:30,rotating,Rotating replay,imagenetr50-replay-selection-v1,30,8877,e5cd16b5789b06bbf39dba9beb775c4a2d3be59ada7cda5b0be8d499d584a6b3
11577,367,607f32e6a8cd2f0ea7b89e7715bd187a38390a1eb07524e3ef127dd016eed50e,8192,8192,8f7a4c207e826a8a47e4898bf1c749f293ff2bbf2d331e463fd9fdcb3aa69b94,2480,0.697265625,imagenetr50-integrator-history-stage-draw-v1:1993:31,rotating,Rotating replay,imagenetr50-replay-selection-v1,31,8559,af6181a6350751aa7042ee4277daa888b488e9fad17794e4cedfc85e8bc83394
11991,326,52e06007d9e2afac5b9b3a234a6a29fa4dec9abac93be8ed2c7b420a0b074668,8192,8192,f876cb27493c378fc4adf552f4da1938c63a6c65d06013d4a91af7db960d1865,2674,0.673583984375,imagenetr50-integrator-history-stage-draw-v1:1993:32,rotating,Rotating replay,imagenetr50-replay-selection-v1,32,8518,ebd55a81d9df44bd57a14ed8d74ca9f9da54de3b2e7cfdb5c0428c33d87862de
12339,354,1c1f05dcc8fc57fb38217516edb65e8ece6e99df11d58ed6df60bdcb3e2e707f,8192,8192,669174f3e32f73bc204fc13c9c01c6c56f7e5b611741905f43be6a1c0b00045f,2867,0.6500244140625,imagenetr50-integrator-history-stage-draw-v1:1993:33,rotating,Rotating replay,imagenetr50-replay-selection-v1,33,8546,a4b5a06e4f58b557552b7cf24c1135338163c712ce8e9ed1b7aa3d963d69e9e1
12675,225,234aa8e89194f9131372a85cd3e764913264895f492855759cb26ff1fe73d7f1,8192,8192,931d9a64be01e7842a4c68a7f207c9ff70ccae430d8257bd92b5dc8904850aa4,3018,0.631591796875,imagenetr50-integrator-history-stage-draw-v1:1993:34,rotating,Rotating replay,imagenetr50-replay-selection-v1,34,8417,d9888ee040607fdfd2dc5c97618851e3c4dc5250eb62178880d4a2c3b7634646
12944,451,4d06e22c94ee6c0df64be5276da1fbd687745bad4450b2bd119303a3b74d5805,8192,8192,cb5a9d0f0ef01ab34d4f86cb498eef03142afab726c67c2d1269210f21e6f5b2,3046,0.628173828125,imagenetr50-integrator-history-stage-draw-v1:1993:35,rotating,Rotating replay,imagenetr50-replay-selection-v1,35,8643,b110aa44db0ef333b12ebf26ee6ed11a04c4184c0d715a54c0e59da4704014c3
13310,496,1eaf15a1b4ccdb525030a0e85f0c4f444ef637e336ce357616665d81f894d07b,8192,8192,16f458cc9860a3b612f2522997b39c79f26d6bd0be4f7976a2094c05555e8f9c,3236,0.60498046875,imagenetr50-integrator-history-stage-draw-v1:1993:36,rotating,Rotating replay,imagenetr50-replay-selection-v1,36,8688,c9a6886a8a997874f935be6507417b497126cc16d51999994b7ed680cca26aee
13745,506,3d1cda87d218b5c4cb80af2905a7052f129224916067342ec1fc5af558cd5d3e,8192,8192,6580cbe22d8542abab864c257f2ecdd5a84d60db9392e2a58125d6a99332ef69,3400,0.5849609375,imagenetr50-integrator-history-stage-draw-v1:1993:37,rotating,Rotating replay,imagenetr50-replay-selection-v1,37,8698,c1e917f1fd9feb7ed2e9e673fdff0ec0754d71e34be8475819275c14de646280
14218,461,3e9d2ab596681b97967e218381385c48dbceb644319713bd0240cac5809b7ae4,8192,8192,1ef124ee571c6940b4e77df298309a2dc2e32f90fa96f27619c6455ceb6ac88d,3561,0.5653076171875,imagenetr50-integrator-history-stage-draw-v1:1993:38,rotating,Rotating replay,imagenetr50-replay-selection-v1,38,8653,7aa7fb82d88b0e6f8610a9ae27e0fcbe25d298f4ecb2100fa2fed121e9f1f491
14649,367,feba9ffad99d487964c4a49a3a07ee62c3b5ad03499b8ada07fc710f8971e8eb,8192,8192,4cc1539db7ccff28aef51dbe97cf206dd31102d4416f9a3c7c71f52ff9d2cda0,3742,0.543212890625,imagenetr50-integrator-history-stage-draw-v1:1993:39,rotating,Rotating replay,imagenetr50-replay-selection-v1,39,8559,1f444c481c8d60c6823a42a442b50d74bcf9c5fb5ca813f619cfa09c4a4a14de
15044,444,3225675c303b42083e3e51184353a405e231dff139c4430cfdfb7adbf9afb106,8192,8192,0d36875e0e3f909f96f876866d7841aa01b7ae8963888effbee10bcee70c7581,3830,0.532470703125,imagenetr50-integrator-history-stage-draw-v1:1993:40,rotating,Rotating replay,imagenetr50-replay-selection-v1,40,8636,71fb88d23fa83d41a05955f2bc72be982983bac09d257ac320e15b332b5c3114
15450,237,7df2f0ea345165582fc6554216a0dd04135c6cda8d3c9c1189c02c54e6ab7143,8192,8192,a1fd30b576126a71f02681c7c8ef428bdc3f6ab78f5aeb51c966c9fccd755e29,3943,0.5186767578125,imagenetr50-integrator-history-stage-draw-v1:1993:41,rotating,Rotating replay,imagenetr50-replay-selection-v1,41,8429,6e79618c43d7c5caf99f0e64ca26d883241e5cf72530e683364d1009ecd0d531
15782,439,604f2c77643c3fe42c4933ad26df5843f26be3b4ceda64351d86a7352846c7e4,8192,8192,df37bfa590308e725282fa17a495b9e6c622694db67191cdebddd8d9ac86c8b8,4026,0.508544921875,imagenetr50-integrator-history-stage-draw-v1:1993:42,rotating,Rotating replay,imagenetr50-replay-selection-v1,42,8631,f3d688ab58139a86392e44e9d5968eae8507c5991cdaac14a210b77278615b62
16130,306,827d39e43afff93e2db2f3717787d69bc4e97f80d99102ffd45759bf6718a3d3,8192,8192,20c2521614344a4e4ab575a20c676357ee407792a3a608f6fbe08bc75e84c8eb,4116,0.49755859375,imagenetr50-integrator-history-stage-draw-v1:1993:43,rotating,Rotating replay,imagenetr50-replay-selection-v1,43,8498,acf53b9c227248d9e597442c215277ce3dccd230883605c4cab0bd2a293d18c4
16452,235,d249f43028311113ad62d323f4e8639cf441aae452337c7b54f0139267bdfc37,8192,8192,009df0f2543778a82c2df7e8e0a1343c3f8cb21697e0c098e0b02fe5e5770425,4216,0.4853515625,imagenetr50-integrator-history-stage-draw-v1:1993:44,rotating,Rotating replay,imagenetr50-replay-selection-v1,44,8427,ce0634531841ac9c8dd5d52cb17ae98f1d82d4c338fd8b2cb4b2e49c1f408131
16734,337,5323056dc7b2dfc090beb8df12b0c763d94a40d76fe82532bea52677bef7a759,8192,8192,66fe187f68b5f6231cbeca6fb703a0a808f1ce639fa3e1cfb4d7b38f332c308d,4238,0.482666015625,imagenetr50-integrator-history-stage-draw-v1:1993:45,rotating,Rotating replay,imagenetr50-replay-selection-v1,45,8529,c310f796f4a06f8a18bef840b248642608f0c66a85146cafb5eed3f3f4ce8209
17040,407,5b3a8e62b3aaffb5ee3a1a6b14fbc439717df9ef252ac7f74c2a41103f9b34b0,8192,8192,401df29b9195a0ddcc72e7c8dd8702165b2bc4d04b67ff968524824333a41d7d,4301,0.4749755859375,imagenetr50-integrator-history-stage-draw-v1:1993:46,rotating,Rotating replay,imagenetr50-replay-selection-v1,46,8599,77fd8325529701f4bdcb53b52ff50e36ef861695afa930e5857e81bbadf78c2a
17384,360,bf84a17691f412e72d1bc134425eab79321b5d03cf54c9c3c7c265c561a31a7a,8192,8192,e315eeb21d266d9989729588b99b04fb431290e7062bcefb1085eb48643cbdee,4412,0.46142578125,imagenetr50-integrator-history-stage-draw-v1:1993:47,rotating,Rotating replay,imagenetr50-replay-selection-v1,47,8552,19a4748b2f9306d9ee812aad2b438bfb63f26ac52cbb441e25fd8c186f24e2e5
17730,367,293987e2926fc0e7e88d830b54100807e83f026d289312e2696242366fe7fceb,8192,8192,0234b8344748e9d75dd9dd1f21f2416b91cdf496ed844aff0d6dc37ab05478c7,4515,0.4488525390625,imagenetr50-integrator-history-stage-draw-v1:1993:48,rotating,Rotating replay,imagenetr50-replay-selection-v1,48,8559,705c25b2c45a420324efacaa3000c4853ffaa986be58582cb1ffcd3ddaa137b1
18091,333,4a715f87f5de3d1dd57296820bb3b5e7e482eac7a0bd39ea013f961f5a992cee,8192,8192,aea7930fde83f2786ae2c1d32a8aa5c5b63d9147dff80d1c08aa5f11e845c26b,4574,0.441650390625,imagenetr50-integrator-history-stage-draw-v1:1993:49,rotating,Rotating replay,imagenetr50-replay-selection-v1,49,8525,8fbd161404a1952077910480a551a5009d622bbf2ac1196b4e76988df9fba829
18416,355,b172df1a2227a1b2910b8b1b0c061a2e7e1f12d159b3fbbe72451d33e58fb382,8192,8192,887fd03777d6094dd93f82e57ea2b246b2e3ab8341c2b44ea02d7d64ad07f67e,4632,0.4345703125,imagenetr50-integrator-history-stage-draw-v1:1993:50,rotating,Rotating replay,imagenetr50-replay-selection-v1,50,8547,a1dac95ddabd7cb187e892d2f26140732fca4883cfc5c710f91ef3c5307a5f80
